track_id,race_date,race_number,distance_id,course_type,track_condition,run_up_distance,race_type,purse,post_time
AQU,2019-01-01,1,650,D,MY ,36,AOC,80000,01220
AQU,2019-01-01,2,600,D,MY ,48,MCL,41000,01250
AQU,2019-01-01,3,550,D,MY ,54,MCL,35000,00121
AQU,2019-01-01,4,900,D,MY ,101,AOC,80000,00150
AQU,2019-01-01,5,700,D,MY ,60,ALW,64000,00220
AQU,2019-01-01,6,600,D,MY ,48,MCL,46000,00251
AQU,2019-01-01,7,650,D,GD ,36,AOC,67000,00323
AQU,2019-01-01,8,800,D,GD ,54,STK,150000,00350
AQU,2019-01-01,9,600,D,GD ,48,CLM,25000,00420
AQU,2019-01-04,1,800,D,FT ,54,MSW,68000,01250
AQU,2019-01-04,2,700,D,FT ,45,MSW,68000,00122
AQU,2019-01-04,3,600,D,FT ,48,CLM,28000,00157
AQU,2019-01-04,4,700,D,FT ,45,MCL,46000,00227
AQU,2019-01-04,5,900,D,FT ,72,CLM,46000,00300
AQU,2019-01-04,6,800,D,FT ,54,CLM,32000,00331
AQU,2019-01-04,7,900,D,FT ,98,AOC,67000,00359
AQU,2019-01-04,8,600,D,FT ,48,MCL,30000,00428
AQU,2019-01-05,1,800,D,SY ,54,MCL,33000,01226
AQU,2019-01-05,2,800,D,SY ,54,STR,55000,01256
AQU,2019-01-05,3,800,D,SY ,54,MSW,60000,00126
AQU,2019-01-05,4,650,D,SY ,32,MSW,60000,00158
AQU,2019-01-05,5,650,D,SY ,32,AOC,75000,00226
AQU,2019-01-05,6,550,D,SY ,52,MSW,60000,00258
AQU,2019-01-05,7,600,D,SY ,48,ALW,70000,00327
AQU,2019-01-05,8,700,D,SY ,45,STK,100000,00358
AQU,2019-01-05,9,900,D,SY ,96,CLM,28000,00428
AQU,2019-01-06,1,800,D,MY ,54,CLM,43000,01250
AQU,2019-01-06,2,550,D,MY ,52,CLM,36000,00122
AQU,2019-01-06,3,650,D,MY ,32,MCL,41000,00155
AQU,2019-01-06,4,800,D,MY ,54,SOC,60000,00226
AQU,2019-01-06,5,800,D,MY ,54,MCL,35000,00257
AQU,2019-01-06,6,650,D,MY ,32,CLM,36000,00327
AQU,2019-01-06,7,600,D,MY ,45,AOC,64000,00358
AQU,2019-01-06,8,700,D,MY ,45,AOC,67000,00428
AQU,2019-01-10,1,800,D,FT ,54,STR,55000,01250
AQU,2019-01-10,2,900,D,FT ,101,MSW,60000,00122
AQU,2019-01-10,3,800,D,FT ,54,MCL,30000,00200
AQU,2019-01-10,4,600,D,FT ,48,MSW,68000,00229
AQU,2019-01-10,5,600,D,FT ,48,CLM,42000,00257
AQU,2019-01-11,1,800,D,FT ,54,MSW,68000,01250
AQU,2019-01-11,2,800,D,FT ,54,CLM,36000,00122
AQU,2019-01-11,3,600,D,FT ,52,MSW,60000,00155
AQU,2019-01-11,4,800,D,FT ,54,AOC,70000,00227
AQU,2019-01-11,5,600,D,FT ,52,MSW,60000,00258
AQU,2019-01-11,6,550,D,FT ,60,CLM,46000,00327
AQU,2019-01-11,7,700,D,FT ,44,ALW,64000,00359
AQU,2019-01-11,8,650,D,FT ,33,MCL,33000,00429
AQU,2019-01-12,1,650,D,FT ,32,MCL,35000,01228
AQU,2019-01-12,2,550,D,FT ,54,CLM,32000,00100
AQU,2019-01-12,3,650,D,FT ,32,STR,55000,00130
AQU,2019-01-12,4,650,D,FT ,32,MCL,35000,00202
AQU,2019-01-12,5,600,D,FT ,45,CLM,28000,00231
AQU,2019-01-12,6,600,D,FT ,45,CLM,32000,00300
AQU,2019-01-12,7,800,D,FT ,54,ALW,70000,00331
AQU,2019-01-12,8,700,D,FT ,45,STK,100000,00402
AQU,2019-01-12,9,800,D,FT ,54,MCL,33000,00432
AQU,2019-01-13,1,550,D,FT ,63,MSW,68000,01251
AQU,2019-01-13,2,900,D,FT ,84,AOC,75000,00122
AQU,2019-01-13,3,650,D,FT ,45,CLM,42000,00157
AQU,2019-01-13,4,550,D,FT ,63,MCL,35000,00226
AQU,2019-01-13,5,600,D,FT ,48,CLM,28000,00259
AQU,2019-01-13,6,800,D,FT ,54,MSW,68000,00330
AQU,2019-01-13,7,650,D,FT ,45,STK,100000,00400
AQU,2019-01-13,8,600,D,FT ,48,CLM,28000,00430
AQU,2019-01-18,1,600,D,FT ,48,STR,55000,01251
AQU,2019-01-18,2,600,D,FT ,48,SOC,60000,00123
AQU,2019-01-18,3,600,D,FT ,48,MCL,33000,00156
AQU,2019-01-18,4,800,D,FT ,54,CLM,57000,00227
AQU,2019-01-18,5,800,D,FT ,54,MCL,35000,00257
AQU,2019-01-18,6,800,D,FT ,54,CLM,42000,00327
AQU,2019-01-18,7,650,D,FT ,34,AOC,70000,00358
AQU,2019-01-18,8,600,D,FT ,48,CLM,37000,00428
AQU,2019-01-19,1,600,D,FT ,36,MSW,68000,01229
AQU,2019-01-19,2,900,D,FT ,99,CLM,28000,00101
AQU,2019-01-19,3,700,D,FT ,40,CLM,50000,00132
AQU,2019-01-19,4,800,D,FT ,54,MCL,41000,00201
AQU,2019-01-19,5,700,D,FT ,40,STK,100000,00229
AQU,2019-01-19,6,800,D,FT ,54,CLM,28000,00301
AQU,2019-01-19,7,600,D,FT ,36,CLM,46000,00330
AQU,2019-01-19,8,900,D,FT ,99,AOC,64000,00400
AQU,2019-01-19,9,800,D,FT ,54,CLM,25000,00430
AQU,2019-01-20,1,900,D,SY ,101,MCL,35000,01250
AQU,2019-01-20,2,800,D,SY ,54,AOC,64000,00119
AQU,2019-01-20,3,550,D,SY ,52,MCL,35000,00147
AQU,2019-01-20,4,600,D,SY ,48,CLM,43000,00217
AQU,2019-01-20,5,700,D,SY ,45,MSW,60000,00245
AQU,2019-01-20,6,600,D,SY ,48,CLM,48000,00311
AQU,2019-01-20,7,900,D,SY ,101,STK,100000,00339
AQU,2019-01-20,8,550,D,SY ,52,MCL,35000,00407
AQU,2019-01-25,1,600,D,MY ,45,MCL,41000,01225
AQU,2019-01-25,2,600,D,MY ,45,AOC,67000,01256
AQU,2019-01-25,3,600,D,MY ,45,MSW,60000,00127
AQU,2019-01-25,4,600,D,MY ,45,MCL,30000,00158
